,name ,servin _size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
884,"Mushrooms, microwaved, white",100,35,0.5,0.1,0,0,0,0,0.049,0,0,0,0,6.04,2.5,0,0.46
885,"Beverages, AMP, Energy drink",100,46,0.1,,0,0,0,0.6,0.2,0,0,0,0,12.08,0,12.08,0.08
886,SILK Black Cherry soy yogurt,100,88,1.2,,0,0,0,0,0,17.6,0,0,0,17.06,0.6,11.76,1.18
887,"Snack, original bar, BALANCE",100,415,12,1.1,1,5000,1496,1.24,0.89,11.2,5.84,5.84,1.3,48.73,3.1,34.89,12
888,"Beverages, well, tap, water",100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
889,"Chrysanthemum, raw, garland",100,24,0.6,,0,2320,116,0,0.176,1.4,0,0,350,3.02,3,0,0.56
890,"Stew, moose (Alaska Native)",100,55,0.5,,0,1043,0,0,0.03,1,0,0,0,6,0.5,0,0.5
891,"Ice creams, rich, chocolate",100,251,17,10,60,713,201,0.18,0.033,0.5,0.46,0.46,1.5,19.78,0.9,17.35,16.98
892,"Oil, walrus (Alaska Native)",100,900,100,,120,2600,0,0,0,0,0,0,0,0,0,0,100
893,"Grapefruit juice, raw, pink",100,39,0.1,,0,440,22,0,0.044,38,0,0,0,9.2,0,0,0.1
894,"Babyfood, junior, ham, meat",100,97,3.8,1.3,29,0,0,0.1,0.2,2.1,0.4,0.4,0,3.7,0,0,3.8
895,"Radish seeds, raw, sprouted",100,43,2.5,0.8,0,391,20,0,0.285,28.9,0,0,0,3.6,0,0,2.53
896,"MORI-NU, firm, silken, Tofu",100,62,2.7,0.4,0,0,0,0,0.011,0,0,0,0,2.4,0.1,1.27,2.7
897,"MORI-NU, soft, silken, Tofu",100,55,2.7,0.4,0,0,0,0,0.011,0,0,0,0,2.9,0.1,1.31,2.7
898,"Bread, rye, reduced-calorie",100,203,2.9,0.4,0,4,0,0.04,0.077,0.4,0.28,0.28,0.6,40.5,12,2.29,2.9
899,"Snacks, air-popped, popcorn",100,387,4.5,0.6,0,196,10,0,0.157,0,0.29,0.29,1.2,77.78,14.5,0.87,4.54
900,"Muffins, dry mix, blueberry",100,293,3.3,1.2,0,18,1,0,0.082,2.3,0,0,0,61,1.4,32.73,3.25
901,"Frankfurter, unheated, beef",100,316,28,11,55,0,0,1.38,0.185,0,0.2,0.2,1.8,3.36,0,1.31,28.3
902,"Turkey, raw, giblets, whole",100,124,5.1,1.5,333,13129,3939,13.06,0.654,0,0.25,0.25,0,0.07,0,0,5.09
903,"Corn pudding, home prepared",100,131,5,2.5,72,296,57,0.31,0.127,3.7,0.27,0.27,0.5,16.97,1.2,6.59,5.04
904,"Popovers, enriched, dry mix",100,371,4.3,1,0,0,0,0.08,0.042,0.1,0,0,0,71,0,0,4.3
905,"Soybeans, raw, mature seeds",100,446,20,2.9,0,22,1,0,0.377,6,0.85,0.85,47,30.16,9.3,7.33,19.94
906,"Beef sausage, cooked, fresh",100,332,28,11,82,81,13,2.01,0.313,0,0.24,0.24,1.1,0.35,0,0,27.98
907,"Luncheon meat, canned, pork",100,334,30,11,62,0,0,0.9,0.21,1,0.26,0.26,0,2.1,0,0,30.3
908,"MURRAY, Vanilla Sugar Wafer",100,527,26,8.6,0,0,0,0,0,0,0,0,0,70,1,41,25.7
909,"Radishes, raw, white icicle",100,14,0.1,,0,0,0,0,0.075,29,0,0,0,2.63,1.4,0,0.1
910,"Vinespinach, raw, (basella)",100,19,0.3,,0,8000,400,0,0.24,102,0,0,0,3.4,0,0,0.3
911,"Syrups, high-fructose, corn",100,281,0,,0,0,0,0,0,0,0,0,0,76,0,75.65,0
912,"Stew, steamed corn (Navajo)",100,112,3.8,1.6,0,0,0,0,0.12,0,0,0,0.7,10.8,2.3,0.51,3.75
913,"OSCAR MAYER, Bologna (beef)",100,316,29,13,64,0,0,1.43,0.17,0,0,0,0,2.45,0,1.4,29.1
914,"Ostrich, raw, outside strip",100,120,2.2,0.8,79,0,0,5.33,0.549,0,0.21,0.21,0,0,0,0,2.21
915,"Milk, fluid, indian buffalo",100,97,6.9,4.6,19,178,53,0.36,0.023,2.3,0,0,0,5.18,0,0,6.89
916,"Nuts, dried, black, walnuts",100,619,59,3.5,0,40,2,0,0.583,1.7,2.08,2.08,2.7,9.58,6.8,1.1,59.33
917,"ON THE BORDER, Mexican rice",100,195,4.9,0.9,0,61,3,0.09,0,0.3,0.59,0.59,12.3,34.15,1.1,1.38,4.86
918,"Mushrooms, raw, Chanterelle",100,38,0.5,,0,0,0,0,0.044,0,0,0,0,6.86,3.8,1.16,0.53
919,"McDONALD'S, Baked Apple Pie",100,323,16,4,0,0,0,0,0.049,32.3,1.94,1.94,0,43.62,2,17.25,15.66
920,"McDONALD'S, Sausage Biscuit",100,376,25,11,29,26,8,0.39,0.128,0,0.75,0.75,0,27.2,1.2,1.97,25.4
921,"CHICK-FIL-A, Chick-n-Strips",100,228,11,2.1,56,0,0,0.19,0.476,1,1.56,1.56,0,10.39,0.9,1.24,11.2
922,"Edamame, unprepared, frozen",100,109,4.7,,0,0,0,0,0.135,9.7,0.72,0.72,31.4,7.61,4.8,2.48,4.73
923,"Mollusks, raw, blue, mussel",100,86,2.2,0.4,28,160,48,12,0.05,8,0.55,0.55,0.1,3.69,0,0,2.24
924,"Quail, total edible, cooked",100,227,14,4,86,234,70,0.36,0.62,2.3,0.7,0.7,4.2,0,0,0,14.1
925,"Cereals, dry, CREAM OF RICE",100,370,0.5,0.1,0,0,0,0,0.195,0,0.11,0.11,0.1,82.4,0.7,0.3,0.5
926,"LEAN POCKETS, Ham N Cheddar",100,230,6.5,2.4,20,0,0,0.44,0.102,0.1,0.29,0.29,1.7,32.52,1.7,7.6,6.53
927,"Snacks, tropical, trail mix",100,442,17,8.5,0,49,2,0,0.327,7.6,0,0,0,65.6,0,0,17.1
928,"Nuts, full fat, acorn flour",100,501,30,3.9,0,51,3,0,0.688,0,0,0,0,54.65,0,0,30.17
929,"Sauce, ready-to-serve, fish",100,35,0,,0,12,4,0.48,0.396,0.5,0,0,0,3.64,0,3.64,0.01
930,"Fish, raw, european, turbot",100,95,3,0.8,48,35,11,2.2,0.21,1.7,0,0,0,0,0,0,2.95
931,"Fast foods, caramel, sundae",100,196,6,2.9,16,170,45,0.39,0.03,2.2,0.58,0.58,0,31.81,0,0,5.98
932,"Pie fillings, canned, apple",100,100,0.1,,0,24,2,0,0.016,1.7,0.04,0.04,0.5,26.1,1,13.8,0.1
933,"Sauce, ready-to-serve, plum",100,184,1,0.2,0,43,2,0,0.078,0.5,0,0,0,42.81,0.7,0,1.04
934,"Ostrich, cooked, inside leg",100,141,1.9,0.7,73,0,0,6.36,0.555,0,0.22,0.22,0,0,0,0,1.94
935,"Gravy, mushroom, CAMPBELL'S",100,34,1.7,,8,0,0,0,0,0,0,0,0,5.08,0,1.69,1.69
936,"Snacks, smoked, beef sticks",100,550,50,21,133,250,13,1,0.205,6.8,0,0,0,5.4,0,0,49.6
937,"Cheese, whole milk, ricotta",100,174,13,8.3,51,445,120,0.34,0.043,0,0.11,0.11,1.1,3.04,0,0.27,12.98
938,SILK French Vanilla Creamer,100,133,6.7,,0,0,0,0,0,0,0,0,0,20,0,20,6.67
939,"Bread, canned, boston brown",100,195,1.5,0.3,1,87,25,0.01,0.082,0,0.32,0.32,2.5,43.3,4.7,2.42,1.5
940,"Cheese, queso blanco, white",100,310,24,14,70,555,157,1.75,0.086,0,0.47,0.47,1.6,2.53,0,1.76,24.31
941,"Cheese, queso fresco, fresh",100,299,24,13,69,806,224,1.68,0.076,0,0.37,0.37,1,2.98,0,2.32,23.82
942,"Beverages, powder, Lemonade",100,376,1.1,0.2,0,0,0,0,0.026,39.9,0.14,0.14,0,97.57,0.4,94.7,1.05
943,"Apricots, sweetened, frozen",100,98,0.1,,0,1680,84,0,0.06,9,0,0,0,25.1,2.2,0,0.1
944,"Muffins, toaster-type, corn",100,346,11,1.7,13,97,18,0.03,0.048,0,0,0,0,57.9,1.6,0,11.3
945,"Tomatoes, cooked, ripe, red",100,18,0.1,,0,489,24,0,0.079,22.8,0.56,0.56,2.8,4.01,0.7,2.49,0.11
946,"Squash, raw, baby, zucchini",100,21,0.4,0.1,0,490,25,0,0.142,34.1,0,0,0,3.11,1.1,0,0.4
947,HORMEL Canadian Style Bacon,100,122,4.9,1.8,49,0,0,0,0,1.4,0,0,0,1.87,0,1.43,4.94
948,"McDONALD'S, QUARTER POUNDER",100,244,12,4,39,56,0,1.28,0,0.9,0,0,0,22.17,1.6,5.13,11.55
949,"Brotwurst, link, beef, pork",100,323,28,9.9,63,0,0,2.05,0.13,0,0.27,0.27,0,2.98,0,2.98,27.8
950,"Pork, cooked, ground, fresh",100,297,21,7.7,94,8,2,0.54,0.391,0.7,0.21,0.21,0,0,0,0,20.77
951,"Sausage, raw, pork, Italian",100,346,31,11,76,0,0,0.91,0.3,2,0,0,0,0.65,0,0,31.33
952,Ham and cheese loaf or roll,100,241,19,7,58,0,0,0.81,0.26,0,0.27,0.27,0,4,0,0,18.7
953,"CRACKER BARREL, steak fries",100,255,13,2.4,0,0,0,0,0.236,0.9,1.34,1.34,32.1,30.87,3.5,0.86,13.18
954,"McDONALD'S, Sausage Burrito",100,277,16,6.4,137,0,0,0.74,0.102,0,0,0,0,22.97,1.2,2.57,15.63
955,"Candies, CHUNKY Bar, NESTLE",100,475,28,13,10,0,0,0,0,0,0,0,0,60,2.5,52.5,27.5
956,"Fish, raw, freshwater, drum",100,119,4.9,1.1,64,170,51,2,0.3,1,0,0,0,0,0,0,4.93
