Discription,url,Vendor
"Seven-day's 100% Pure Cotton Striped Formal Shirt for Men – Stripes Regular Fit Half Sleeve Men’s Shirts, Gents Short Sleeves Stripe Shirt, Smart Formals, Work Wear, Business Casual",https://www.amazon.in/Seven-days-Cotton-Light-Striped-Formal/dp/B0BZJW1N8C/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_4_B0BZJW1N8C?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0BZJW1N8C&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-5-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
Uiriuy Funky Printed Shirt for Men,https://www.amazon.in/Uiriuy-Funky-Printed-Shirt-Large/dp/B0C15138YJ/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_5_B0C15138YJ?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0C15138YJ&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-6-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
"Seven-day's 100% Pure Cotton Printed Formal Shirt for Men – Prints Regular Fit Half Sleeve Men’s Shirts, Gents Half Sleeves Print Dress Shirt, Smart Formals, Business Casual",https://www.amazon.in/Seven-days-Cotton-Cream-Printed-Formal/dp/B0C4V7W8GS/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_6_B0C4V7W8GS?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B0C4V7W8GS&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-7-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
Diverse Men Shirt,https://www.amazon.in/Diverse-Mens-Checkered-Shirt-DCMCF80SC14L39-3832_Brown/dp/B09JFGHJZN/ref=sxin_20_slsr_d_i_fsnewarrivals_fa_7_B09JFGHJZN?content-id=amzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7%3Aamzn1.sym.75fb7dbe-1dae-415e-a068-997b8c3956f7&crid=3EKVZNS1FCSRP&cv_ct_cx=shirt&keywords=shirt&pd_rd_i=B09JFGHJZN&pd_rd_r=ccd40d52-081a-4088-8598-28ca3f836aca&pd_rd_w=hf9Pj&pd_rd_wg=AMbk2&pf_rd_p=75fb7dbe-1dae-415e-a068-997b8c3956f7&pf_rd_r=ZHEDTJH0ACM8JS09E1J7&qid=1684559026&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shir%2Caps%2C310&sr=1-8-5b2ee5ec-0735-4782-9f3a-9d21a55133d0,Amazon
The Indian Garage Co Men's Slim Fit Shirt,https://www.amazon.in/Indian-Garage-Co-0519-SH02-07-Beige-Navy_Beige/dp/B087S71M2P/ref=sr_1_9?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-9,Amazon
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta),https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Printed/dp/B0BRKHYXP8/ref=sr_1_10?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-10,Amazon
Dennis Lingo Men's Checkered Slim Fit Cotton Casual Shirt,https://www.amazon.in/Dennis-Lingo-Checkered-D-Blue-AZ751_D-Blue_XL/dp/B08YNYXCRW/ref=sr_1_11?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-11,Amazon
Miraan Men's Long Sleeve Casual Denim Shirt (SIGDENIM),https://www.amazon.in/Miraan-Sleeve-Casual-Light-blue-SIGLIGHTDENIMM/dp/B0B21D6FHH/ref=sr_1_12?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-12,Amazon
IndoPrimo Men's Cotton Casual Checks Shirt for Men Full Sleeves,https://www.amazon.in/IndoPrimo-Cotton-Casual-Sleeves-X-Large/dp/B0BX937P58/ref=sr_1_13?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-13,Amazon
"DHRUVI TRENDZ Shirt for Men || Opaqu Cotton Shirts for Men || Regular Fit Solid Shirts for Men || Spread Collar & Half Sleeve Shirt || Casual, Office Wear Shirt for Men.",https://www.amazon.in/DHRUVI-TRENDZ-Cotton-Shirts-Regular/dp/B0BY332NSG/ref=sr_1_14?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-14,Amazon
Allen Solly Men's Slim Fit Shirt,https://www.amazon.in/Allen-Solly-Geometric-Regular-ASSFWMOFO48848_White_40/dp/B07DN1BJ51/ref=sr_1_15?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-15,Amazon
Leriya Fashion Shirt for Men | Tropical Leaf Printed Rayon Shirts for Men | Preppy Short Sleeves | Spread Collared Neck | Perfect for Outing | Beach | Camp Wear Shirt for Boys,https://www.amazon.in/Leriya-Fashion-Tropical-Printed-Collared/dp/B0BWJWPZVX/ref=sr_1_16?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-16,Amazon
Dennis Lingo Men's Solid Slim Fit Casual Shirt,https://www.amazon.in/Dennis-Lingo-Plain-Casual-C301_Black_Large/dp/B071H7SZ1R/ref=sr_1_17?crid=3EKVZNS1FCSRP&keywords=shirt&qid=1684559026&sprefix=shir%2Caps%2C310&sr=8-17,Amazon
